City,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Soyo,AO,72.27,clear sky,-6.13,12.37,Hotel Mpampa
4,Mercedes,AR,54.0,broken clouds,-34.65,-59.43,Posada del Inti Centro
6,Rikitea,PF,71.04,clear sky,-23.12,-134.97,Pension Maro'i
7,Hermanus,ZA,55.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
8,Port Blair,IN,81.91,overcast clouds,11.67,92.75,Hotel Sentinel
9,Albany,US,90.0,clear sky,42.6,-73.97,
10,Norman Wells,CA,60.8,broken clouds,65.28,-126.83,
11,Hasaki,JP,64.4,light intensity shower rain,35.73,140.83,
12,Makakilo City,US,84.2,broken clouds,21.35,-158.09,
13,Tripoli,LY,76.6,clear sky,32.88,13.19,
14,Saskylakh,RU,59.54,overcast clouds,71.92,114.08,
16,Auki,SB,80.35,overcast clouds,-8.77,160.7,
17,Port Hedland,AU,59.0,clear sky,-20.32,118.57,
18,Butaritari,KI,83.35,scattered clouds,3.07,172.79,
19,Helong,CN,58.37,overcast clouds,42.54,129.0,
20,Lagoa,PT,68.83,clear sky,39.05,-27.98,
21,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,
22,Angola,AO,56.53,clear sky,-12.5,18.5,
23,Port Alfred,ZA,58.64,clear sky,-33.59,26.89,
25,Avarua,CK,71.6,light rain,-21.21,-159.78,
26,Cabo San Lucas,MX,93.2,scattered clouds,22.89,-109.91,
27,Orbetello,IT,78.8,clear sky,42.44,11.22,
28,Vila Velha,BR,75.99,scattered clouds,-20.33,-40.29,
29,Mahebourg,MU,71.6,few clouds,-20.41,57.7,
30,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,
31,Castro,BR,62.22,clear sky,-24.79,-50.01,
33,Nikolskoye,RU,55.4,broken clouds,59.7,30.79,
34,Lebu,CL,50.22,overcast clouds,-37.62,-73.65,
36,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,
37,Cherskiy,RU,52.54,overcast clouds,68.75,161.3,
38,Labuhan,ID,75.38,broken clouds,-6.88,112.21,
39,Tilichiki,RU,50.18,overcast clouds,60.47,166.1,
40,Haines Junction,CA,62.91,overcast clouds,60.75,-137.51,
41,Ninghai,CN,82.4,overcast clouds,29.29,121.42,
42,Erenhot,CN,68.2,overcast clouds,43.65,111.98,
44,Hobyo,SO,79.83,scattered clouds,5.35,48.53,
47,Bandarbeyla,SO,81.9,broken clouds,9.49,50.81,
48,Torbay,CA,63.0,broken clouds,47.67,-52.73,
50,Kurumkan,RU,62.56,overcast clouds,54.3,110.3,
51,Umarkot,PK,85.91,scattered clouds,25.36,69.74,
53,Surgut,RU,57.2,broken clouds,61.25,73.42,
55,Waltershausen,DE,59.0,few clouds,50.9,10.57,
56,Crato,BR,84.2,few clouds,-7.23,-39.41,
57,Bengkulu,ID,74.35,broken clouds,-3.8,102.27,
58,Kapaa,US,82.4,scattered clouds,22.08,-159.32,
59,Andra,RU,64.58,broken clouds,62.51,65.89,
60,Kununurra,AU,68.0,overcast clouds,-15.77,128.73,
61,Tanggu,CN,73.4,mist,39.02,117.65,
62,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.64,-41.05,
63,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,
64,Tiznit,MA,85.98,overcast clouds,29.58,-9.5,
65,Qaqortoq,GL,57.2,overcast clouds,60.72,-46.03,
67,Poronaysk,RU,55.18,overcast clouds,49.22,143.12,
68,Lorengau,PG,81.52,overcast clouds,-2.02,147.27,
71,Jiayuguan,CN,74.08,overcast clouds,39.82,98.3,
73,Yumen,CN,73.35,overcast clouds,40.28,97.2,
74,Jamestown,US,75.0,clear sky,42.1,-79.24,
76,Rimouski,CA,78.8,broken clouds,48.45,-68.52,
78,Tessalit,ML,93.51,scattered clouds,20.2,1.01,
79,Souillac,MU,71.6,few clouds,-20.52,57.52,
80,Fortuna,US,72.0,scattered clouds,40.6,-124.16,
81,Kodiak,US,55.4,overcast clouds,57.79,-152.41,
82,Naze,JP,80.6,scattered clouds,28.37,129.48,
84,Cidreira,BR,57.63,overcast clouds,-30.18,-50.21,
86,Uribia,CO,92.44,scattered clouds,11.71,-72.27,
87,Yellowknife,CA,66.2,broken clouds,62.46,-114.35,
88,Masterton,NZ,50.0,overcast clouds,-40.96,175.66,
89,Virginia Beach,US,95.0,few clouds,36.85,-75.98,
90,Ribeira Grande,PT,71.6,few clouds,38.52,-28.7,
91,Thompson,CA,71.6,broken clouds,55.74,-97.86,
92,Omboue,GA,73.33,overcast clouds,-1.57,9.26,
93,Hernani,ES,71.6,scattered clouds,43.27,-1.98,
95,Chokurdakh,RU,61.21,broken clouds,70.63,147.92,
96,Vostok,RU,58.68,overcast clouds,46.49,135.88,
97,Hartselle,US,81.0,scattered clouds,34.44,-86.94,
98,Sal Rei,CV,77.0,broken clouds,16.18,-22.92,
101,Husavik,IS,53.6,light rain,66.04,-17.34,
102,Vao,NC,71.67,broken clouds,-22.67,167.48,
103,Vanavara,RU,53.91,clear sky,60.34,102.28,
104,Sarangani,PH,82.02,overcast clouds,5.4,125.46,
105,Slave Lake,CA,64.4,broken clouds,55.28,-114.77,
106,Geraldton,AU,53.6,clear sky,-28.77,114.6,
107,Sur,OM,85.55,overcast clouds,22.57,59.53,
108,Jiangyou,CN,73.69,overcast clouds,31.77,104.72,
110,Kungurtug,RU,53.87,broken clouds,50.6,97.52,
111,Igrim,RU,60.85,scattered clouds,63.19,64.42,
112,Huarmey,PE,67.3,few clouds,-10.07,-78.15,
113,Demba,CD,73.17,broken clouds,-5.51,22.27,
115,Margate,GB,60.01,overcast clouds,51.38,1.39,
116,Tiksi,RU,59.45,overcast clouds,71.69,128.87,
117,Egvekinot,RU,56.01,overcast clouds,66.32,-179.17,
119,Provideniya,RU,51.8,mist,64.38,-173.3,
120,Manakara,MG,67.73,clear sky,-22.13,48.02,
121,Antofagasta,CL,59.0,scattered clouds,-23.65,-70.4,
122,Baykit,RU,55.17,broken clouds,61.67,96.37,
124,Havre-Saint-Pierre,CA,75.2,few clouds,50.23,-63.6,
125,Rassvet,RU,75.76,broken clouds,46.83,40.75,
126,Anadyr,RU,55.4,few clouds,64.75,177.48,
127,Khatanga,RU,54.72,overcast clouds,71.97,102.5,
128,Mareeba,AU,69.01,broken clouds,-17.0,145.43,
130,Kenai,US,55.4,overcast clouds,60.55,-151.26,
132,Kahului,US,89.6,scattered clouds,20.89,-156.47,
133,Arraial Do Cabo,BR,78.8,broken clouds,-22.97,-42.03,
134,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,
135,Port Elizabeth,ZA,55.4,clear sky,-33.92,25.57,
136,Norsup,VU,78.8,broken clouds,-16.07,167.38,
137,North Bay,CA,69.8,broken clouds,46.32,-79.47,
138,Bethel,US,88.0,clear sky,41.37,-73.41,
139,Wajima,JP,67.8,overcast clouds,37.4,136.9,
140,Kilindoni,TZ,77.45,clear sky,-7.91,39.67,
142,Zabid,YE,90.18,broken clouds,14.2,43.32,
143,Pangnirtung,CA,50.0,shower rain,66.15,-65.71,
145,Hualmay,PE,66.0,clear sky,-11.1,-77.61,
147,Aykhal,RU,53.6,broken clouds,66.0,111.5,
149,Tomatlan,MX,91.53,overcast clouds,19.93,-105.25,
152,Kaeo,NZ,55.0,scattered clouds,-35.1,173.78,
155,Tromso,NO,51.8,shower rain,69.65,18.96,
156,Zeya,RU,71.96,overcast clouds,53.75,127.27,
157,Gilleleje,DK,59.0,scattered clouds,56.12,12.31,
158,Wolsztyn,PL,59.0,scattered clouds,52.12,16.12,
159,Nome,US,64.99,clear sky,64.5,-165.41,
160,Kamenka,RU,71.01,scattered clouds,51.32,42.77,
161,Karratha,AU,60.12,scattered clouds,-20.74,116.85,
162,Hambantota,LK,80.65,overcast clouds,6.12,81.12,
163,Atuona,PF,80.6,clear sky,-9.8,-139.03,
164,Mahajanga,MG,71.6,few clouds,-15.72,46.32,
165,Komsomolskiy,UZ,75.2,overcast clouds,40.43,71.72,
166,Oranjemund,,55.29,clear sky,-28.55,16.43,
167,Straseni,MD,62.6,broken clouds,47.14,28.61,
168,Road Town,VG,87.8,scattered clouds,18.42,-64.62,
169,Porto Novo,BJ,77.0,few clouds,6.5,2.6,
170,Challapata,BO,52.21,clear sky,-18.9,-66.77,
172,Kailua,US,84.2,broken clouds,21.4,-157.74,
174,Faanui,PF,79.16,overcast clouds,-16.48,-151.75,
175,Yerbogachen,RU,55.8,clear sky,61.28,108.01,
176,Seymchan,RU,70.63,broken clouds,62.88,152.43,
177,Douglas,US,86.0,scattered clouds,41.3,-96.17,
179,Santa Cruz,BO,78.8,scattered clouds,-17.8,-63.17,
180,Talnakh,RU,53.6,broken clouds,69.49,88.4,
181,Guerrero Negro,MX,87.15,clear sky,27.98,-114.06,
183,Salalah,OM,80.6,light intensity drizzle,17.02,54.09,
185,Fukue,JP,78.01,overcast clouds,32.69,128.84,
186,Henties Bay,,55.0,clear sky,-22.12,14.28,
188,Ubinskoye,RU,55.92,clear sky,55.31,79.68,
189,Georgetown,MY,80.6,scattered clouds,5.41,100.34,
190,Pailon,BO,80.6,broken clouds,-17.65,-62.75,
191,Carnarvon,AU,57.2,scattered clouds,-24.87,113.63,
192,Tuktoyaktuk,CA,57.2,scattered clouds,69.45,-133.04,
193,Kobyzhcha,UA,62.6,broken clouds,50.83,31.5,
195,Tam Ky,VN,78.8,few clouds,15.57,108.48,
196,Zaanstad,NL,59.0,broken clouds,52.45,4.81,
197,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,
198,Rapar,IN,83.52,overcast clouds,23.57,70.63,
199,Saint-Augustin,CA,62.01,overcast clouds,51.23,-58.65,
200,Keffi,NG,77.0,thunderstorm,8.85,7.87,
201,Tual,ID,79.07,broken clouds,-5.67,132.75,
202,Yenagoa,NG,74.77,overcast clouds,4.92,6.26,
203,Wrexham,GB,62.01,clear sky,53.0,-3.0,
204,Sabha,LY,88.84,clear sky,27.04,14.43,
205,Tautira,PF,80.6,broken clouds,-17.73,-149.15,
206,Warri,NG,74.82,broken clouds,5.52,5.75,
207,Cochrane,CA,68.0,scattered clouds,51.18,-114.47,
208,Coquimbo,CL,59.0,broken clouds,-29.95,-71.34,
210,Macon,US,84.0,scattered clouds,39.87,-88.97,
211,Salta,AR,68.0,clear sky,-24.79,-65.41,
212,East London,ZA,59.58,clear sky,-33.02,27.91,
213,Alcaniz,ES,68.0,overcast clouds,41.05,-0.13,
214,Neepawa,CA,78.8,broken clouds,50.23,-99.47,
215,Airai,TL,55.67,overcast clouds,-8.93,125.41,
217,Ilhabela,BR,76.17,few clouds,-23.78,-45.36,
218,Bokoro,TD,85.71,clear sky,12.38,17.06,
219,Muros,ES,73.0,clear sky,42.78,-9.06,
220,Touros,BR,75.2,few clouds,-5.2,-35.46,
221,Mao,ES,73.4,broken clouds,39.89,4.27,
222,Khawhai,IN,62.51,overcast clouds,23.37,93.12,
224,Puerto Del Rosario,ES,73.4,clear sky,28.5,-13.86,
226,Shiyan,CN,67.95,overcast clouds,32.65,110.78,
227,Haicheng,CN,68.52,overcast clouds,40.85,122.75,
228,Abay,KZ,57.2,few clouds,49.63,72.85,
229,Lompoc,US,78.01,clear sky,34.64,-120.46,
232,Hermiston,US,82.0,clear sky,45.84,-119.29,
233,Do Gonbadan,IR,93.2,clear sky,30.36,50.8,
235,Huambo,AO,59.38,clear sky,-12.78,15.74,
236,Bakchar,RU,55.4,overcast clouds,57.02,82.07,
238,Hetauda,NP,71.6,light rain,27.43,85.03,
239,Vuktyl,RU,57.11,broken clouds,63.86,57.31,
240,Tahta,EG,82.02,clear sky,26.77,31.5,
241,Falam,MM,61.88,overcast clouds,22.92,93.68,
242,Ikalamavony,MG,60.15,scattered clouds,-21.15,46.58,
246,Tevaitoa,PF,79.65,overcast clouds,-16.78,-151.5,
247,Black River,JM,88.0,light intensity shower rain,18.03,-77.85,
250,Narsaq,GL,57.2,overcast clouds,60.92,-46.05,
251,Lae,PG,69.8,broken clouds,-6.72,146.98,
252,Praia Da Vitoria,PT,73.4,few clouds,38.73,-27.07,
253,Victoria,HK,84.0,few clouds,22.29,114.16,
255,Kruisfontein,ZA,55.33,clear sky,-34.0,24.73,
256,Luderitz,,55.4,clear sky,-26.65,15.16,
257,Maceio,BR,77.0,few clouds,-9.67,-35.74,
258,Paita,PE,66.99,few clouds,-5.09,-81.11,
259,Ust-Nera,RU,70.57,overcast clouds,64.57,143.2,
260,Monywa,MM,81.01,overcast clouds,22.12,95.13,
261,Kavieng,PG,82.36,overcast clouds,-2.57,150.8,
262,Sisimiut,GL,52.92,broken clouds,66.94,-53.67,
263,Deputatskiy,RU,62.51,broken clouds,69.3,139.9,
264,Vila,PT,77.0,clear sky,42.03,-8.16,
265,Aklavik,CA,60.8,broken clouds,68.22,-135.01,
266,Roald,NO,52.0,broken clouds,62.58,6.13,
267,Suifenhe,CN,58.01,clear sky,44.4,131.17,
268,Carbondale,US,86.0,few clouds,37.73,-89.22,
270,Eniwa,JP,66.99,light intensity drizzle,42.88,141.54,
271,Kingston,JM,88.0,scattered clouds,18.0,-76.79,
274,Eminabad,PK,82.4,smoke,32.04,74.26,
276,Port Lincoln,AU,51.75,clear sky,-34.73,135.87,
277,Acapulco,MX,87.8,broken clouds,16.86,-99.89,
278,Kashin,RU,55.96,overcast clouds,57.36,37.61,
280,Hamilton,US,84.99,broken clouds,39.18,-84.53,
281,Sao Filipe,CV,74.53,scattered clouds,14.9,-24.5,
283,Novikovo,RU,65.98,clear sky,51.15,37.89,
284,Kidal,ML,91.54,broken clouds,18.44,1.41,
285,Jumla,NP,59.2,scattered clouds,29.27,82.18,
286,Camana,PE,62.71,clear sky,-16.62,-72.71,
288,Ponta Do Sol,PT,70.0,clear sky,32.67,-17.1,
289,Bud,US,82.0,clear sky,39.45,-86.18,
290,Hayden,US,73.0,broken clouds,47.77,-116.79,
292,Hithadhoo,MV,85.28,overcast clouds,-0.6,73.08,
293,Kholmogory,RU,55.4,few clouds,64.22,41.66,
296,Teguldet,RU,56.57,few clouds,57.31,88.17,
297,Moerai,PF,74.7,broken clouds,-22.43,-151.33,
300,Upington,ZA,50.0,clear sky,-28.45,21.26,
301,Bulgan,MN,55.24,few clouds,48.81,103.53,
302,Malanje,AO,63.57,clear sky,-9.54,16.34,
304,Nicoya,CR,84.2,broken clouds,10.15,-85.45,
307,Raga,SS,71.47,overcast clouds,8.46,25.68,
308,Pomabamba,PE,61.25,scattered clouds,-8.83,-77.47,
309,Constitucion,CL,55.63,overcast clouds,-35.33,-72.42,
310,Catanzaro,IT,75.2,clear sky,38.89,16.6,
313,Penzance,GB,63.0,clear sky,50.12,-5.54,
314,Kushmurun,KZ,67.17,clear sky,52.45,64.63,
316,Turukhansk,RU,56.35,overcast clouds,65.82,87.98,
317,Monte Patria,CL,76.14,overcast clouds,-30.69,-70.95,
318,Flin Flon,CA,75.2,broken clouds,54.77,-101.86,
319,Isangel,VU,73.4,few clouds,-19.55,169.27,
320,Marawi,PH,73.0,overcast clouds,8.0,124.29,
321,Lensk,RU,63.7,overcast clouds,60.73,114.93,
322,Broome,US,82.99,scattered clouds,42.25,-75.83,
323,Merauke,ID,77.04,broken clouds,-8.47,140.33,
325,Beyneu,KZ,85.21,clear sky,45.32,55.2,
326,Muhos,FI,57.2,overcast clouds,64.81,25.99,
327,Turayf,SA,80.6,clear sky,31.67,38.66,
328,Zhireken,RU,61.39,overcast clouds,52.82,117.31,
329,Guapiacu,BR,86.0,overcast clouds,-20.8,-49.22,
330,Quelimane,MZ,68.45,broken clouds,-17.88,36.89,
333,Colombo,LK,78.8,scattered clouds,6.93,79.85,
334,Sorland,NO,50.0,few clouds,67.67,12.69,
336,Sosva,RU,65.34,clear sky,59.18,61.86,
337,Sinjar,IQ,88.7,scattered clouds,36.32,41.88,
338,Faya,SA,77.0,clear sky,18.39,42.45,
339,Pacific Grove,US,75.2,clear sky,36.62,-121.92,
340,Toora-Khem,RU,52.45,overcast clouds,52.47,96.11,
341,Campbell River,CA,63.0,light intensity shower rain,50.02,-125.24,
343,Sept-Iles,CA,72.0,overcast clouds,50.2,-66.38,
344,Nago,JP,82.4,clear sky,26.59,127.98,
347,Kem,RU,52.12,clear sky,64.96,34.58,
348,Lewistown,US,80.01,light intensity drizzle,40.6,-77.57,
349,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,
350,Neftcala,AZ,76.57,clear sky,39.37,49.25,
354,Madhogarh,IN,87.89,few clouds,26.28,79.19,
356,Ixtapa,MX,87.01,broken clouds,20.7,-105.2,
358,Biak,ID,75.96,few clouds,-0.91,122.88,
359,Kathu,TH,84.0,scattered clouds,7.92,98.33,
360,Tarjan,HU,62.6,clear sky,47.61,18.51,
362,Uyemskiy,RU,55.4,few clouds,64.47,40.85,
363,Awbari,LY,84.83,clear sky,26.59,12.78,
364,Svrljig,RS,62.6,broken clouds,43.41,22.12,
365,Alyangula,AU,71.6,overcast clouds,-13.85,136.42,
366,Axim,GH,74.59,scattered clouds,4.87,-2.24,
368,Khandyga,RU,70.43,broken clouds,62.67,135.6,
369,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,
371,Almeirim,BR,81.64,scattered clouds,-1.52,-52.58,
373,Udgir,IN,76.41,overcast clouds,18.38,77.12,
375,Petropavlovsk-Kamchatskiy,RU,55.4,broken clouds,53.05,158.65,
376,Monrovia,LR,77.0,broken clouds,6.3,-10.8,
377,Baghdad,IQ,91.4,clear sky,33.34,44.4,
378,Klaksvik,FO,51.8,overcast clouds,62.23,-6.59,
379,Ous,RU,67.6,broken clouds,60.91,61.52,
380,Maumere,ID,77.49,overcast clouds,-8.62,122.21,
381,Mongo,TD,82.94,scattered clouds,12.18,18.69,
383,Nador,MA,77.0,thunderstorm,35.17,-2.93,
384,Ola,RU,57.36,clear sky,59.58,151.28,
386,Talara,PE,65.21,clear sky,-4.58,-81.27,
387,Sao Pedro Do Sul,BR,64.4,scattered clouds,-29.62,-54.18,
388,Aswan,EG,88.12,scattered clouds,24.09,32.91,
389,Tarko-Sale,RU,54.0,overcast clouds,64.92,77.78,
390,Marataizes,BR,72.48,clear sky,-21.04,-40.82,
391,Manta,EC,76.44,broken clouds,-0.95,-80.73,
394,Lishui,CN,76.48,overcast clouds,28.46,119.91,
395,Nortelandia,BR,88.45,broken clouds,-14.45,-56.8,
398,Tankhoy,RU,59.32,scattered clouds,51.55,105.13,
399,Los Llanos De Aridane,ES,73.4,few clouds,28.66,-17.92,
400,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,
401,Courtenay,CA,64.4,broken clouds,49.69,-124.99,
403,Pisco,PE,64.99,scattered clouds,-13.7,-76.22,
404,Mongomo,GQ,67.62,overcast clouds,1.63,11.31,
405,Baie-Saint-Paul,CA,76.48,overcast clouds,47.44,-70.5,
406,Gat,IL,78.01,clear sky,31.61,34.76,
407,Yarovoye,RU,63.37,clear sky,52.93,78.58,
408,Hyeres,FR,73.99,overcast clouds,43.12,6.12,
410,Luebo,CD,71.22,overcast clouds,-5.35,21.42,
411,La Libertad,EC,70.47,overcast clouds,-2.23,-80.9,
412,Srednekolymsk,RU,66.76,few clouds,67.45,153.68,
413,Halifax,CA,75.0,few clouds,44.65,-63.57,
415,George,ZA,66.2,clear sky,-33.96,22.46,
416,Taltal,CL,61.41,few clouds,-25.4,-70.48,
420,Ibra,OM,83.37,broken clouds,22.69,58.53,
421,San Andres,CO,87.8,broken clouds,12.58,-81.7,
422,Graaff-Reinet,ZA,53.06,clear sky,-32.25,24.53,
423,Shingu,JP,69.19,overcast clouds,33.73,135.98,
424,Mitsamiouli,KM,77.52,clear sky,-11.38,43.28,
425,Nuuk,GL,51.01,few clouds,64.18,-51.72,
426,Hanzhong,CN,66.07,few clouds,33.07,107.03,
427,Kaffrine,SN,79.34,overcast clouds,14.11,-15.55,
428,Luganville,VU,78.8,broken clouds,-15.53,167.17,
429,Dzierzoniow,PL,50.0,clear sky,50.73,16.65,
431,Zhuji,CN,80.6,overcast clouds,29.72,120.24,
432,Krasnogorsk,RU,63.0,broken clouds,55.82,37.32,
433,Cartagena,CO,86.0,scattered clouds,10.4,-75.51,
434,Zhigansk,RU,65.07,broken clouds,66.77,123.37,
437,Ormara,PK,84.43,overcast clouds,25.21,64.64,
438,Odweyne,SO,76.95,clear sky,9.41,45.06,
439,Kutum,SD,76.96,overcast clouds,14.2,24.67,
441,Callaguip,PH,80.62,overcast clouds,18.07,120.49,
442,Hami,CN,75.56,scattered clouds,42.8,93.45,
443,Astana,KZ,64.4,clear sky,51.18,71.45,
445,Lasa,IT,59.0,clear sky,46.62,10.7,
446,Natal,BR,80.6,few clouds,-5.79,-35.21,
447,Kraskino,RU,63.01,overcast clouds,42.71,130.78,
448,Avera,US,95.0,clear sky,33.19,-82.53,
449,Cayenne,GF,84.2,few clouds,4.93,-52.33,
450,Les Cayes,HT,84.94,few clouds,18.2,-73.75,
452,Ipira,BR,73.49,few clouds,-12.16,-39.74,
453,Abu Kamal,SY,89.6,clear sky,34.45,40.92,
454,Korla,CN,77.0,few clouds,41.76,86.15,
456,Riyadh,SA,95.0,scattered clouds,24.69,46.72,
457,Dombarovskiy,RU,77.18,few clouds,50.76,59.54,
458,Walvis Bay,,55.0,clear sky,-22.96,14.51,
459,Arcachon,FR,75.2,clear sky,44.59,-1.05,
460,Fairview,US,91.99,few clouds,40.81,-74.0,
461,Popondetta,PG,73.35,overcast clouds,-8.75,148.25,
463,Stornoway,GB,54.0,light rain,58.21,-6.39,
464,Amboasary,MG,69.8,scattered clouds,-25.03,46.38,
466,Racine,US,77.0,clear sky,42.75,-88.08,
467,Maputo,MZ,61.0,clear sky,-25.97,32.59,
469,Bay Roberts,CA,64.99,overcast clouds,47.6,-53.26,
470,Palatka,US,95.0,few clouds,29.65,-81.64,
471,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,
472,Palmerston,AU,71.6,clear sky,-12.49,130.98,
473,Akdepe,TM,80.6,clear sky,42.06,59.38,
474,Athens,GR,84.0,clear sky,37.98,23.72,
477,Gunjur,GM,78.8,broken clouds,13.2,-16.73,
478,Palmer,US,88.0,scattered clouds,42.16,-72.33,
479,Marsabit,KE,68.59,clear sky,2.33,37.99,
482,Ketchikan,US,59.0,overcast clouds,55.34,-131.65,
484,Lata,PT,73.99,clear sky,40.16,-8.33,
485,Lubawa,PL,52.0,clear sky,53.5,19.75,
486,Gasa,PS,78.01,clear sky,31.5,34.47,
487,Oistins,BB,84.2,scattered clouds,13.07,-59.53,
488,Kinkala,CG,78.8,scattered clouds,-4.36,14.76,
490,Ust-Maya,RU,66.58,clear sky,60.42,134.53,
494,Khani,GE,73.4,broken clouds,41.96,42.96,
495,Barcelos,PT,82.0,clear sky,41.54,-8.62,
498,Vestmanna,FO,51.8,overcast clouds,62.16,-7.17,
501,Tchibanga,GA,67.57,clear sky,-2.85,11.03,
502,Pochutla,MX,88.0,broken clouds,15.74,-96.47,
503,Vila Franca Do Campo,PT,69.8,broken clouds,37.72,-25.43,
504,Pringsewu,ID,73.2,overcast clouds,-5.36,104.97,
505,Zhezkazgan,KZ,80.06,clear sky,47.8,67.71,
506,Rayagada,IN,79.05,overcast clouds,19.17,83.42,
507,Okha,RU,54.36,overcast clouds,53.57,142.95,
508,Burns Lake,CA,62.44,overcast clouds,54.23,-125.75,
509,Teahupoo,PF,80.6,broken clouds,-17.83,-149.27,
511,Prince Rupert,CA,57.2,scattered clouds,54.32,-130.32,
512,Mpwapwa,TZ,61.43,clear sky,-6.35,36.48,
513,Yarada,IN,80.6,mist,17.65,83.27,
514,Doda,IN,69.89,few clouds,33.13,75.57,
516,Uhlove,UA,72.48,clear sky,44.82,33.6,
517,Umm Kaddadah,SD,84.25,overcast clouds,13.6,26.69,
518,Solnechnyy,RU,64.76,broken clouds,50.72,136.63,
520,Port Keats,AU,68.68,overcast clouds,-14.25,129.55,
521,Losinyy,RU,55.4,clear sky,57.14,61.07,
522,Port Hardy,CA,55.4,light intensity shower rain,50.7,-127.42,
523,Mastic Beach,US,86.0,few clouds,40.77,-72.85,
524,Jaisalmer,IN,85.87,clear sky,26.91,70.92,
525,Kushima,JP,73.4,mist,31.46,131.23,
526,Mohacs,HU,57.2,clear sky,45.99,18.68,
527,Ventnor City,US,90.0,few clouds,39.34,-74.48,
530,Zhanaozen,KZ,80.37,clear sky,43.3,52.8,
531,Baherden,TM,85.15,overcast clouds,38.44,57.43,
532,Harper,LR,75.15,broken clouds,4.38,-7.72,
533,Katsuura,JP,69.01,light rain,35.13,140.3,
534,Tabou,CI,75.38,overcast clouds,4.42,-7.35,
535,North Branch,US,82.0,scattered clouds,45.51,-92.98,
536,Fort Nelson,CA,69.8,broken clouds,58.81,-122.7,
537,Nara,JP,70.0,light rain,34.69,135.8,
538,Ossora,RU,53.92,overcast clouds,59.24,163.07,
539,Nakatsugawa,JP,69.01,broken clouds,35.48,137.5,
540,Belaya Gora,RU,70.7,overcast clouds,68.53,146.42,
542,Virden,US,84.2,broken clouds,39.5,-89.77,
543,Oktyabrskiy,RU,64.8,clear sky,54.48,53.47,
544,Xichang,CN,66.61,overcast clouds,27.9,102.26,
546,Miri,MY,78.8,scattered clouds,4.41,114.01,
547,Imeni Poliny Osipenko,RU,59.11,broken clouds,52.42,136.49,
548,Bilma,NE,91.02,broken clouds,18.69,12.92,
549,Sao Francisco,BR,73.44,clear sky,-15.95,-44.86,
550,Tema,GH,77.0,few clouds,5.67,-0.02,
551,Spiridonovka,RU,75.2,overcast clouds,53.09,50.65,
552,Sorong,ID,76.03,clear sky,-0.88,131.25,
554,Kangavar,IR,65.37,clear sky,34.5,47.97,
